,title,date,location,type,region
0,Glen Teriyaki,1/16/2024, Sea Monster Lounge,Music,Wallingford / Greenlake
1,Greta Matassa Sextet,1/16/2024, Dimitriou's Jazz Alley,Music,Downtown
2,Holding Absence,1/16/2024, Neumos,Music,Capitol Hill / Central District
3,Nellie McKay,1/16/2024, The Triple Door,Music,Downtown
4,Amber Liu,1/17/2024, The Crocodile,Music,Downtown
5,Disability Justice,1/17/2024, Town Hall Seattle,Readings & Lectures,Downtown
6,Hughes Bros Presents,1/17/2024, Sea Monster Lounge,Music,Wallingford / Greenlake
7,sarya wu,1/17/2024, Chop Suey,Music,Capitol Hill / Central District
8,The Sweet Lillies,1/17/2024, High Dive,Music,Fremont / Ballard
9,Dinosaur Jr.,Now through 1/18/2024, The Neptune Theatre,Music,University District
10,Black Dogs,1/18/2024, Sea Monster Lounge,Music,Wallingford / Greenlake
11,Blue Elephant and The Seven Snakes,1/18/2024, Funhouse,Music,Capitol Hill / Central District
12,"Brock, Lanzetti, Ogawa",1/18/2024, The Royal Room,Music,South Seattle
13,Fact and Fiction: The Lord of the Rings,1/18/2024, National Nordic Museum,Film & Media Arts,Fremont / Ballard
14,Groundation,1/18/2024, Nectar Lounge,Music,Fremont / Ballard
15,Kayla Min Andrews,1/18/2024, Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District
16,Ol Doris,1/18/2024, Slim's Last Chance,Music,South Seattle
17,Rosetan,1/18/2024, High Dive,Music,Fremont / Ballard
18,"Untold Stories: Wire, Life, and Art with Kristin Tollefson",1/18/2024, Bainbridge Island Museum of Art,Readings & Lectures,West
19,Y La Bamba,1/18/2024, Neumos,Music,Capitol Hill / Central District
20,Dead Bars,1/19/2024, Slim's Last Chance,Music,South Seattle
21,Emotional: A Night For The Heartbroken,1/19/2024, Chop Suey,Music,Capitol Hill / Central District
22,Loonieboys,1/19/2024, Funhouse,Music,Capitol Hill / Central District
23,Corteo,Now through 1/20/2024, Climate Pledge Arena,Theatre,Queen Anne / Seattle Center
24,Bewitcher,1/20/2024, Funhouse,Music,Capitol Hill / Central District
25,burn burn burn,1/20/2024, Slim's Last Chance,Music,South Seattle
26,Carly Ann Calbero,1/20/2024, The Royal Room,Music,South Seattle
